season,team,team_abbr,road_games,road_wins,road_losses,road_win_pct,road_point_diff,road_avg_margin,close_road_games,close_road_wins
2026,New York Knicks,NY,10,9,1,0.9,175,17.5,3,2
2019,Golden State Warriors,GS,11,8,3,0.7272727272727273,60,5.454545454545454,6,4
2020,Miami Heat,MIA,11,8,3,0.7272727272727273,13,1.1818181818181819,4,4
2003,San Antonio Spurs,SA,12,8,4,0.6666666666666666,68,5.666666666666667,5,2
2022,Boston Celtics,BOS,12,8,4,0.6666666666666666,43,3.5833333333333335,3,2
2017,Golden State Warriors,GS,8,7,1,0.875,78,9.75,1,1
2024,Boston Celtics,BOS,8,7,1,0.875,29,3.625,2,2
2020,Boston Celtics,BOS,9,7,2,0.7777777777777778,56,6.222222222222222,4,3
2020,Los Angeles Lakers,LAL,9,7,2,0.7777777777777778,54,6,0,0
2002,Los Angeles Lakers,LAL,9,7,2,0.7777777777777778,28,3.111111111111111,4,3
2007,San Antonio Spurs,SA,9,7,2,0.7777777777777778,-10,-1.1111111111111112,5,5
2015,Golden State Warriors,GS,10,7,3,0.7,81,8.1,2,1
2017,Cleveland Cavaliers,CLE,10,7,3,0.7,77,7.7,2,2
2015,Cleveland Cavaliers,CLE,10,7,3,0.7,37,3.7,3,2
2011,Dallas Mavericks,DAL,10,7,3,0.7,31,3.1,4,2
2003,New Jersey Nets,NJ,10,7,3,0.7,19,1.9,5,4
2026,San Antonio Spurs,SA,11,7,4,0.6363636363636364,61,5.545454545454546,3,1
2013,San Antonio Spurs,SA,11,7,4,0.6363636363636364,57,5.181818181818182,2,1
2019,Toronto Raptors,TOR,11,7,4,0.6363636363636364,7,0.6363636363636364,3,3
2016,Cleveland Cavaliers,CLE,11,7,4,0.6363636363636364,2,0.18181818181818182,3,3
2005,San Antonio Spurs,SA,11,7,4,0.6363636363636364,-23,-2.090909090909091,4,3
2024,Dallas Mavericks,DAL,12,7,5,0.5833333333333334,2,0.16666666666666666,3,3
2025,Indiana Pacers,IND,12,7,5,0.5833333333333334,-18,-1.5,4,4
2023,Miami Heat,MIA,13,7,6,0.5384615384615384,-3,-0.23076923076923078,3,2
2024,Minnesota Timberwolves,MIN,8,6,2,0.75,45,5.625,1,1
2023,Denver Nuggets,DEN,9,6,3,0.6666666666666666,57,6.333333333333333,2,1
2023,Boston Celtics,BOS,9,6,3,0.6666666666666666,20,2.2222222222222223,2,1
2025,New York Knicks,NY,9,6,3,0.6666666666666666,-35,-3.888888888888889,5,5
2018,Golden State Warriors,GS,10,6,4,0.6,34,3.4,1,0
2013,Miami Heat,MIA,10,6,4,0.6,24,2.4,0,0
2004,Detroit Pistons,DET,10,6,4,0.6,23,2.3,2,1
2021,Atlanta Hawks,ATL,10,6,4,0.6,-37,-3.7,4,4
2009,Los Angeles Lakers,LAL,11,6,5,0.5454545454545454,30,2.727272727272727,2,0
2021,Phoenix Suns,PHX,11,6,5,0.5454545454545454,12,1.0909090909090908,1,1
2006,Dallas Mavericks,DAL,12,6,6,0.5,27,2.25,5,1
2010,Boston Celtics,BOS,12,6,6,0.5,-9,-0.75,4,3
2021,Milwaukee Bucks,MIL,12,6,6,0.5,-22,-1.8333333333333333,2,2
2005,Detroit Pistons,DET,13,6,7,0.46153846153846156,-26,-2,2,1
2014,Washington Wizards,WSH,6,5,1,0.8333333333333334,42,7,2,1
2005,Phoenix Suns,PHX,7,5,2,0.7142857142857143,34,4.857142857142857,2,2
2010,Orlando Magic,ORL,7,5,2,0.7142857142857143,26,3.7142857142857144,2,2
2002,Sacramento Kings,SAC,7,5,2,0.7142857142857143,24,3.4285714285714284,5,3
2026,Oklahoma City Thunder,OKC,7,5,2,0.7142857142857143,16,2.2857142857142856,1,1
2005,Miami Heat,MIA,7,5,2,0.7142857142857143,1,0.14285714285714285,2,2
2021,LA Clippers,LAC,9,5,4,0.5555555555555556,48,5.333333333333333,2,0
2014,Indiana Pacers,IND,9,5,4,0.5555555555555556,-14,-1.5555555555555556,2,2
2016,Oklahoma City Thunder,OKC,9,5,4,0.5555555555555556,-25,-2.7777777777777777,2,2
2014,San Antonio Spurs,SA,10,5,5,0.5,28,2.8,4,2
2012,Miami Heat,MIA,10,5,5,0.5,16,1.6,3,1
2007,Cleveland Cavaliers,CLE,10,5,5,0.5,-4,-0.4,4,2
2011,Miami Heat,MIA,10,5,5,0.5,-24,-2.4,4,2
2014,Miami Heat,MIA,10,5,5,0.5,-24,-2.4,3,2
2022,Golden State Warriors,GS,10,5,5,0.5,-37,-3.7,4,2
2025,Oklahoma City Thunder,OKC,10,5,5,0.5,-67,-6.7,3,3
2006,Miami Heat,MIA,11,5,6,0.45454545454545453,-20,-1.8181818181818181,3,2
2010,Los Angeles Lakers,LAL,11,5,6,0.45454545454545453,-25,-2.272727272727273,3,2
2009,Orlando Magic,ORL,12,5,7,0.4166666666666667,-12,-1,7,3
2020,LA Clippers,LAC,6,4,2,0.6666666666666666,24,4,1,0
