season,season_type_label,team,overall,home,road,overall_wins,overall_losses,overall_games,home_wins,home_losses,home_games,road_wins,road_losses,road_games
1950,Regular Season,Minneapolis Lakers,51-17,30-1,19-16,51,17,68,30,1,31,19,16,35
1950,Regular Season,Rochester Royals,51-17,33-2,17-16,51,17,68,33,2,35,17,16,33
1950,Regular Season,Syracuse Nationals,51-13,31-1,15-12,51,13,64,31,1,32,15,12,27
1950,Regular Season,Chicago Stags,40-28,18-6,14-22,40,28,68,18,6,24,14,22,36
1950,Regular Season,Fort Wayne Pistons,40-28,29-6,12-22,40,28,68,29,6,35,12,22,34
1950,Regular Season,New York Knicks,40-28,19-10,18-16,40,28,68,19,10,29,18,16,34
1950,Regular Season,Indianapolis Olympians,39-25,24-7,12-16,39,25,64,24,7,31,12,16,28
1950,Regular Season,Anderson Packers,37-27,22-9,12-18,37,27,64,22,9,31,12,18,30
1950,Regular Season,Washington Capitols,32-36,21-13,10-20,32,36,68,21,13,34,10,20,30
1950,Regular Season,Tri-Cities Blackhawks,29-35,20-13,6-20,29,35,64,20,13,33,6,20,26
1950,Regular Season,Philadelphia Warriors,26-42,15-15,8-23,26,42,68,15,15,30,8,23,31
1950,Regular Season,St. Louis Bombers,26-42,17-14,7-26,26,42,68,17,14,31,7,26,33
1950,Regular Season,Baltimore Bullets,25-43,16-15,8-25,25,43,68,16,15,31,8,25,33
1950,Regular Season,Sheboygan Red Skins,22-40,17-14,5-22,22,40,62,17,14,31,5,22,27
1950,Regular Season,Boston Celtics,22-46,12-14,5-28,22,46,68,12,14,26,5,28,33
1950,Regular Season,Waterloo Hawks,19-43,16-15,2-22,19,43,62,16,15,31,2,22,24
1950,Regular Season,Denver Nuggets,11-51,9-16,1-25,11,51,62,9,16,25,1,25,26
1950,Playoffs,Minneapolis Lakers,10-2,6-0,4-2,10,2,12,6,0,6,4,2,6
1950,Playoffs,Syracuse Nationals,6-5,5-1,1-4,6,5,11,5,1,6,1,4,5
1950,Playoffs,Anderson Packers,4-4,3-1,1-3,4,4,8,3,1,4,1,3,4
1950,Playoffs,Indianapolis Olympians,3-3,3-1,0-2,3,3,6,3,1,4,0,2,2
1950,Playoffs,New York Knicks,3-2,2-0,1-2,3,2,5,2,0,2,1,2,3
1950,Playoffs,Fort Wayne Pistons,2-2,1-1,1-1,2,2,4,1,1,2,1,1,2
1950,Playoffs,Sheboygan Red Skins,1-2,1-0,0-2,1,2,3,1,0,1,0,2,2
1950,Playoffs,Tri-Cities Blackhawks,1-2,1-0,0-2,1,2,3,1,0,1,0,2,2
1950,Playoffs,Chicago Stags,0-2,0-1,0-1,0,2,2,0,1,1,0,1,1
1950,Playoffs,Philadelphia Warriors,0-2,0-1,0-1,0,2,2,0,1,1,0,1,1
1950,Playoffs,Rochester Royals,0-2,0-1,0-1,0,2,2,0,1,1,0,1,1
1950,Playoffs,Washington Capitols,0-2,0-1,0-1,0,2,2,0,1,1,0,1,1
1951,Regular Season,Minneapolis Lakers,44-24,29-3,12-21,44,24,68,29,3,32,12,21,33
1951,Regular Season,Rochester Royals,41-27,29-5,12-22,41,27,68,29,5,34,12,22,34
1951,Regular Season,Philadelphia Warriors,40-26,29-3,10-22,40,26,66,29,3,32,10,22,32
1951,Regular Season,Boston Celtics,39-30,26-5,9-23,39,30,69,26,5,31,9,23,32
1951,Regular Season,New York Knicks,36-30,22-5,10-25,36,30,66,22,5,27,10,25,35
1951,Regular Season,Fort Wayne Pistons,32-36,27-7,5-27,32,36,68,27,7,34,5,27,32
1951,Regular Season,Syracuse Nationals,32-34,23-10,9-24,32,34,66,23,10,33,9,24,33
1951,Regular Season,Indianapolis Olympians,31-37,19-12,10-24,31,37,68,19,12,31,10,24,34
1951,Regular Season,Tri-Cities Blackhawks,25-43,22-13,2-28,25,43,68,22,13,35,2,28,30
1951,Regular Season,Baltimore Bullets,24-42,20-12,4-24,24,42,66,20,12,32,4,24,28
1951,Regular Season,Washington Capitols,10-25,7-11,3-13,10,25,35,7,11,18,3,13,16
1951,Playoffs,Rochester Royals,9-5,7-1,2-4,9,5,14,7,1,8,2,4,6
1951,Playoffs,New York Knicks,8-6,6-1,2-5,8,6,14,6,1,7,2,5,7
1951,Playoffs,Syracuse Nationals,4-3,3-0,1-3,4,3,7,3,0,3,1,3,4
1951,Playoffs,Minneapolis Lakers,3-4,3-1,0-3,3,4,7,3,1,4,0,3,3
1951,Playoffs,Fort Wayne Pistons,1-2,1-0,0-2,1,2,3,1,0,1,0,2,2
1951,Playoffs,Indianapolis Olympians,1-2,1-0,0-2,1,2,3,1,0,1,0,2,2
1951,Playoffs,Boston Celtics,0-2,0-1,0-1,0,2,2,0,1,1,0,1,1
1951,Playoffs,Philadelphia Warriors,0-2,0-1,0-1,0,2,2,0,1,1,0,1,1
1952,Regular Season,Rochester Royals,41-25,28-5,12-18,41,25,66,28,5,33,12,18,30
1952,Regular Season,Minneapolis Lakers,40-26,21-5,13-20,40,26,66,21,5,26,13,20,33
1952,Regular Season,Syracuse Nationals,40-26,26-7,12-18,40,26,66,26,7,33,12,18,30
1952,Regular Season,Boston Celtics,39-27,22-7,10-19,39,27,66,22,7,29,10,19,29
1952,Regular Season,New York Knicks,37-29,21-4,12-22,37,29,66,21,4,25,12,22,34
1952,Regular Season,Indianapolis Olympians,34-32,25-6,4-24,34,32,66,25,6,31,4,24,28
1952,Regular Season,Philadelphia Warriors,33-33,24-7,6-25,33,33,66,24,7,31,6,25,31
1952,Regular Season,Fort Wayne Pistons,29-37,22-11,6-24,29,37,66,22,11,33,6,24,30
1952,Regular Season,Baltimore Bullets,20-46,17-15,2-22,20,46,66,17,15,32,2,22,24
1952,Regular Season,Milwaukee Hawks,17-49,8-13,3-22,17,49,66,8,13,21,3,22,25
1952,Playoffs,Minneapolis Lakers,9-4,6-1,3-3,9,4,13,6,1,7,3,3,6
1952,Playoffs,New York Knicks,8-6,5-1,3-5,8,6,14,5,1,6,3,5,8
1952,Playoffs,Rochester Royals,3-3,2-1,1-2,3,3,6,2,1,3,1,2,3
1952,Playoffs,Syracuse Nationals,3-4,3-1,0-3,3,4,7,3,1,4,0,3,3
1952,Playoffs,Boston Celtics,1-2,1-1,0-1,1,2,3,1,1,2,0,1,1
1952,Playoffs,Philadelphia Warriors,1-2,1-0,0-2,1,2,3,1,0,1,0,2,2
1952,Playoffs,Fort Wayne Pistons,0-2,0-1,0-1,0,2,2,0,1,1,0,1,1
1952,Playoffs,Indianapolis Olympians,0-2,0-1,0-1,0,2,2,0,1,1,0,1,1
1953,Regular Season,Minneapolis Lakers,48-22,24-2,16-15,48,22,70,24,2,26,16,15,31
1953,Regular Season,New York Knicks,47-23,22-4,15-14,47,23,70,22,4,26,15,14,29
1953,Regular Season,Syracuse Nationals,47-24,32-2,10-20,47,24,71,32,2,34,10,20,30
1953,Regular Season,Boston Celtics,46-25,21-3,11-18,46,25,71,21,3,24,11,18,29
1953,Regular Season,Rochester Royals,44-26,24-8,13-17,44,26,70,24,8,32,13,17,30
1953,Regular Season,Fort Wayne Pistons,36-33,25-9,8-19,36,33,69,25,9,34,8,19,27
1953,Regular Season,Indianapolis Olympians,28-43,19-14,4-23,28,43,71,19,14,33,4,23,27
1953,Regular Season,Milwaukee Hawks,27-44,14-8,4-24,27,44,71,14,8,22,4,24,28
1953,Regular Season,Baltimore Bullets,16-54,11-20,1-19,16,54,70,11,20,31,1,19,20
1953,Regular Season,Philadelphia Warriors,12-57,5-13,1-28,12,57,69,5,13,18,1,28,29
1953,Playoffs,Minneapolis Lakers,9-3,5-1,4-2,9,3,12,5,1,6,4,2,6
1953,Playoffs,New York Knicks,6-5,3-3,3-2,6,5,11,3,3,6,3,2,5
1953,Playoffs,Fort Wayne Pistons,4-4,2-1,2-3,4,4,8,2,1,3,2,3,5
1953,Playoffs,Boston Celtics,3-3,2-1,1-2,3,3,6,2,1,3,1,2,3
1953,Playoffs,Rochester Royals,1-2,0-2,1-0,1,2,3,0,2,2,1,0,1
1953,Playoffs,Baltimore Bullets,0-2,0-1,0-1,0,2,2,0,1,1,0,1,1
1953,Playoffs,Indianapolis Olympians,0-2,0-1,0-1,0,2,2,0,1,1,0,1,1
1953,Playoffs,Syracuse Nationals,0-2,0-1,0-1,0,2,2,0,1,1,0,1,1
1954,Regular Season,Minneapolis Lakers,46-26,21-4,13-15,46,26,72,21,4,25,13,15,28
1954,Regular Season,New York Knicks,44-28,18-8,15-13,44,28,72,18,8,26,15,13,28
1954,Regular Season,Rochester Royals,44-28,18-10,12-15,44,28,72,18,10,28,12,15,27
1954,Regular Season,Boston Celtics,42-30,16-6,11-19,42,30,72,16,6,22,11,19,30
1954,Regular Season,Syracuse Nationals,42-30,26-6,11-18,42,30,72,26,6,32,11,18,29
1954,Regular Season,Fort Wayne Pistons,40-32,19-8,11-17,40,32,72,19,8,27,11,17,28
1954,Regular Season,Philadelphia Warriors,29-43,10-9,6-16,29,43,72,10,9,19,6,16,22
1954,Regular Season,Milwaukee Hawks,21-51,10-14,6-17,21,51,72,10,14,24,6,17,23
1954,Regular Season,Baltimore Bullets,16-56,12-20,0-20,16,56,72,12,20,32,0,20,20
1954,Playoffs,Minneapolis Lakers,9-4,6-2,3-2,9,4,13,6,2,8,3,2,5
1954,Playoffs,Syracuse Nationals,9-4,4-2,5-2,9,4,13,4,2,6,5,2,7
1954,Playoffs,Rochester Royals,3-3,2-0,1-3,3,3,6,2,0,2,1,3,4
1954,Playoffs,Boston Celtics,2-4,1-2,1-2,2,4,6,1,2,3,1,2,3
1954,Playoffs,Fort Wayne Pistons,0-4,0-2,0-2,0,4,4,0,2,2,0,2,2
1954,Playoffs,New York Knicks,0-4,0-2,0-2,0,4,4,0,2,2,0,2,2
