season,season_type_label,games,home_wins,road_wins,home_win_pct,road_win_pct,source
1950,Playoffs,30,22,8,0.7333333333333333,0.26666666666666666,Basketball Reference
1950,Regular Season,520,349,171,0.6711538461538461,0.32884615384615384,Basketball Reference
1951,Playoffs,26,21,5,0.8076923076923077,0.19230769230769232,Basketball Reference
1951,Regular Season,339,253,86,0.7463126843657817,0.2536873156342183,Basketball Reference
1952,Playoffs,25,18,7,0.72,0.28,Basketball Reference
1952,Regular Season,294,214,80,0.7278911564625851,0.272108843537415,Basketball Reference
1953,Playoffs,23,12,11,0.5217391304347826,0.4782608695652174,Basketball Reference
1953,Regular Season,280,197,83,0.7035714285714286,0.29642857142857143,Basketball Reference
1954,Playoffs,23,13,10,0.5652173913043478,0.43478260869565216,Basketball Reference
1954,Regular Season,235,150,85,0.6382978723404256,0.3617021276595745,Basketball Reference
1955,Playoffs,21,18,3,0.8571428571428571,0.14285714285714285,Basketball Reference
1955,Regular Season,198,139,59,0.702020202020202,0.29797979797979796,Basketball Reference
1956,Playoffs,21,16,5,0.7619047619047619,0.23809523809523808,Basketball Reference
1956,Regular Season,224,142,82,0.6339285714285714,0.36607142857142855,Basketball Reference
1957,Playoffs,17,11,6,0.6470588235294118,0.35294117647058826,Basketball Reference
1957,Regular Season,222,161,61,0.7252252252252253,0.2747747747747748,Basketball Reference
1958,Playoffs,21,12,9,0.5714285714285714,0.42857142857142855,Basketball Reference
1958,Regular Season,235,151,84,0.6425531914893617,0.3574468085106383,Basketball Reference
1959,Playoffs,22,18,4,0.8181818181818182,0.18181818181818182,Basketball Reference
1959,Regular Season,228,148,80,0.6491228070175439,0.3508771929824561,Basketball Reference
1960,Playoffs,25,15,10,0.6,0.4,Basketball Reference
1960,Regular Season,233,149,84,0.6394849785407726,0.3605150214592275,Basketball Reference
1961,Playoffs,25,17,8,0.68,0.32,Basketball Reference
1961,Regular Season,241,156,85,0.6473029045643154,0.35269709543568467,Basketball Reference
1962,Playoffs,29,19,10,0.6551724137931034,0.3448275862068966,Basketball Reference
1962,Regular Season,273,166,107,0.608058608058608,0.39194139194139194,Basketball Reference
1963,Playoffs,29,20,9,0.6896551724137931,0.3103448275862069,Basketball Reference
1963,Regular Season,293,184,109,0.6279863481228669,0.3720136518771331,Basketball Reference
1964,Playoffs,27,23,4,0.8518518518518519,0.14814814814814814,Basketball Reference
1964,Regular Season,311,185,126,0.594855305466238,0.40514469453376206,Basketball Reference
