season,season_type_label,games,home_wins,road_wins,home_win_pct,road_win_pct,close_games,close_home_wins,close_home_win_pct,avg_margin
2002,Playoffs,71,42,29,0.5915492957746479,0.4084507042253521,21,12,0.5714285714285714,9
2002,Regular Season,1190,703,487,0.5907563025210084,0.4092436974789916,345,170,0.4927536231884058,10.823529411764707
2003,Playoffs,88,54,34,0.6136363636363636,0.38636363636363635,30,13,0.43333333333333335,10.409090909090908
2003,Regular Season,1190,747,443,0.6277310924369748,0.3722689075630252,338,181,0.5355029585798816,10.718487394957982
2004,Playoffs,82,59,23,0.7195121951219512,0.2804878048780488,20,10,0.5,11.085365853658537
2004,Regular Season,1190,731,459,0.6142857142857143,0.38571428571428573,336,170,0.5059523809523809,10.343697478991597
2005,Playoffs,84,47,37,0.5595238095238095,0.44047619047619047,23,7,0.30434782608695654,11.380952380952381
2005,Regular Season,1231,744,487,0.6043866774979691,0.39561332250203085,364,194,0.532967032967033,10.31600324939074
2006,Playoffs,89,60,29,0.6741573033707865,0.3258426966292135,27,15,0.5555555555555556,10.573033707865168
2006,Regular Season,1231,742,489,0.602761982128351,0.3972380178716491,367,199,0.5422343324250681,10.366368805848904
2007,Playoffs,79,52,27,0.6582278481012658,0.34177215189873417,20,10,0.5,10.227848101265822
2007,Regular Season,1231,728,503,0.5913891145410236,0.40861088545897645,373,192,0.514745308310992,10.623883021933388
2008,Playoffs,86,64,22,0.7441860465116279,0.2558139534883721,22,15,0.6818181818181818,12.5
2008,Regular Season,1231,739,492,0.6003249390739236,0.39967506092607635,315,160,0.5079365079365079,11.500406173842405
2009,Playoffs,85,57,28,0.6705882352941176,0.32941176470588235,25,17,0.68,12.6
2009,Regular Season,1231,749,482,0.6084484159220146,0.3915515840779854,341,189,0.5542521994134897,10.955320877335499
2010,Playoffs,82,55,27,0.6707317073170732,0.32926829268292684,19,9,0.47368421052631576,11.841463414634147
2010,Regular Season,1231,731,500,0.5938261575954509,0.4061738424045491,315,176,0.5587301587301587,11.067424857839155
2011,Playoffs,81,54,27,0.6666666666666666,0.3333333333333333,24,17,0.7083333333333334,9.54320987654321
2011,Regular Season,1231,744,487,0.6043866774979691,0.39561332250203085,354,197,0.556497175141243,10.587327376116978
2012,Playoffs,84,57,27,0.6785714285714286,0.32142857142857145,29,16,0.5517241379310345,9.869047619047619
2012,Regular Season,991,580,411,0.5852674066599395,0.4147325933400605,282,133,0.4716312056737589,11.117053481331988
2013,Playoffs,85,54,31,0.6352941176470588,0.36470588235294116,18,13,0.7222222222222222,11.529411764705882
2013,Regular Season,1230,753,477,0.6121951219512195,0.3878048780487805,326,179,0.549079754601227,10.985365853658537
2014,Playoffs,89,50,39,0.5617977528089888,0.43820224719101125,32,17,0.53125,10.280898876404494
2014,Regular Season,1231,714,517,0.5800162469536961,0.4199837530463038,333,186,0.5585585585585585,10.932575142160845
2015,Playoffs,81,48,33,0.5925925925925926,0.4074074074074074,20,12,0.6,11.17283950617284
2015,Regular Season,1231,707,524,0.5743298131600325,0.4256701868399675,336,181,0.5386904761904762,11.114541023558083
2016,Playoffs,86,58,28,0.6744186046511628,0.32558139534883723,18,9,0.5,14.488372093023257
2016,Regular Season,1231,724,507,0.5881397238017871,0.41186027619821286,338,186,0.5502958579881657,11.09910641754671
2017,Playoffs,79,45,34,0.569620253164557,0.43037974683544306,19,8,0.42105263157894735,13.60759493670886
2017,Regular Season,1231,719,512,0.5840779853777417,0.4159220146222583,333,164,0.4924924924924925,11.321689683184402
2018,Playoffs,82,58,24,0.7073170731707317,0.2926829268292683,19,13,0.6842105263157895,12.865853658536585
2018,Regular Season,1232,712,520,0.577922077922078,0.42207792207792205,340,200,0.5882352941176471,11.137987012987013
2019,Playoffs,82,46,36,0.5609756097560976,0.43902439024390244,26,10,0.38461538461538464,12.060975609756097
2019,Regular Season,1232,730,502,0.5925324675324676,0.4074675324675325,335,180,0.5373134328358209,11.74512987012987
2020,Playoffs,83,40,43,0.4819277108433735,0.5180722891566265,19,9,0.47368421052631576,11.626506024096386
2020,Regular Season,1061,585,476,0.5513666352497644,0.44863336475023563,280,144,0.5142857142857142,11.411875589066918
2021,Playoffs,85,48,37,0.5647058823529412,0.43529411764705883,16,5,0.3125,12.494117647058824
2021,Regular Season,1081,587,494,0.5430157261794635,0.4569842738205365,292,157,0.5376712328767124,12.191489361702128
2022,Playoffs,87,52,35,0.5977011494252874,0.40229885057471265,20,11,0.55,12.942528735632184
2022,Regular Season,1231,670,561,0.5442729488220959,0.45572705117790413,310,150,0.4838709677419355,12.365556458164095
2023,Playoffs,84,50,34,0.5952380952380952,0.40476190476190477,21,10,0.47619047619047616,11.654761904761905
2023,Regular Season,1231,714,517,0.5800162469536961,0.4199837530463038,339,175,0.5162241887905604,11.179528838342812
2024,Playoffs,82,48,34,0.5853658536585366,0.4146341463414634,21,11,0.5238095238095238,13.426829268292684
2024,Regular Season,1232,670,562,0.5438311688311688,0.45616883116883117,287,155,0.5400696864111498,12.594967532467532
2025,Playoffs,84,48,36,0.5714285714285714,0.42857142857142855,22,5,0.22727272727272727,13.642857142857142
2025,Regular Season,1234,671,563,0.5437601296596435,0.45623987034035657,309,152,0.4919093851132686,12.745542949756889
2026,Playoffs,85,47,38,0.5529411764705883,0.4470588235294118,16,6,0.375,14.258823529411766
2026,Regular Season,1235,686,549,0.5554655870445344,0.4445344129554656,304,163,0.5361842105263158,13.25587044534413
