season,season_type,season_type_label,game_id,date,home_team,away_team,home_team_abbr,away_team_abbr,home_pts,away_pts,neutral_site,notes_type,notes_headline,status_type_detail,home_win,road_win,winner,loser,margin,close_game,bubble_year
2002,3,Playoffs,220420003,2002-04-20,Charlotte Hornets,Orlando Magic,CHA,ORL,80,79,FALSE,,,Final,TRUE,FALSE,Charlotte Hornets,Orlando Magic,1,TRUE,FALSE
2002,3,Playoffs,220420017,2002-04-20,New Jersey Nets,Indiana Pacers,NJ,IND,83,89,FALSE,,,Final,FALSE,TRUE,Indiana Pacers,New Jersey Nets,6,FALSE,FALSE
2002,3,Playoffs,220420023,2002-04-20,Sacramento Kings,Utah Jazz,SAC,UTAH,89,86,FALSE,,,Final,TRUE,FALSE,Sacramento Kings,Utah Jazz,3,TRUE,FALSE
2002,3,Playoffs,220420024,2002-04-20,San Antonio Spurs,Seattle SuperSonics,SA,SEA,110,89,FALSE,,,Final,TRUE,FALSE,San Antonio Spurs,Seattle SuperSonics,21,FALSE,FALSE
2002,3,Playoffs,220421002,2002-04-21,Boston Celtics,Philadelphia 76ers,BOS,PHI,92,82,FALSE,,,Final,TRUE,FALSE,Boston Celtics,Philadelphia 76ers,10,FALSE,FALSE
2002,3,Playoffs,220421006,2002-04-21,Dallas Mavericks,Minnesota Timberwolves,DAL,MIN,101,94,FALSE,,,Final,TRUE,FALSE,Dallas Mavericks,Minnesota Timberwolves,7,FALSE,FALSE
2002,3,Playoffs,220421008,2002-04-21,Detroit Pistons,Toronto Raptors,DET,TOR,85,63,FALSE,,,Final,TRUE,FALSE,Detroit Pistons,Toronto Raptors,22,FALSE,FALSE
2002,3,Playoffs,220421013,2002-04-21,Los Angeles Lakers,Portland Trail Blazers,LAL,POR,95,87,FALSE,,,Final,TRUE,FALSE,Los Angeles Lakers,Portland Trail Blazers,8,FALSE,FALSE
2002,3,Playoffs,220422017,2002-04-22,New Jersey Nets,Indiana Pacers,NJ,IND,95,79,FALSE,,,Final,TRUE,FALSE,New Jersey Nets,Indiana Pacers,16,FALSE,FALSE
2002,3,Playoffs,220422024,2002-04-22,San Antonio Spurs,Seattle SuperSonics,SA,SEA,90,98,FALSE,,,Final,FALSE,TRUE,Seattle SuperSonics,San Antonio Spurs,8,FALSE,FALSE
2002,3,Playoffs,220423003,2002-04-23,Charlotte Hornets,Orlando Magic,CHA,ORL,103,111,FALSE,,,Final/OT,FALSE,TRUE,Orlando Magic,Charlotte Hornets,8,FALSE,FALSE
2002,3,Playoffs,220423023,2002-04-23,Sacramento Kings,Utah Jazz,SAC,UTAH,86,93,FALSE,,,Final,FALSE,TRUE,Utah Jazz,Sacramento Kings,7,FALSE,FALSE
2002,3,Playoffs,220424006,2002-04-24,Dallas Mavericks,Minnesota Timberwolves,DAL,MIN,122,110,FALSE,,,Final,TRUE,FALSE,Dallas Mavericks,Minnesota Timberwolves,12,FALSE,FALSE
2002,3,Playoffs,220424008,2002-04-24,Detroit Pistons,Toronto Raptors,DET,TOR,96,91,FALSE,,,Final,TRUE,FALSE,Detroit Pistons,Toronto Raptors,5,TRUE,FALSE
2002,3,Playoffs,220425002,2002-04-25,Boston Celtics,Philadelphia 76ers,BOS,PHI,93,85,FALSE,,,Final,TRUE,FALSE,Boston Celtics,Philadelphia 76ers,8,FALSE,FALSE
2002,3,Playoffs,220425013,2002-04-25,Los Angeles Lakers,Portland Trail Blazers,LAL,POR,103,96,FALSE,,,Final,TRUE,FALSE,Los Angeles Lakers,Portland Trail Blazers,7,FALSE,FALSE
2002,3,Playoffs,220426011,2002-04-26,Indiana Pacers,New Jersey Nets,IND,NJ,84,85,FALSE,,,Final,FALSE,TRUE,New Jersey Nets,Indiana Pacers,1,TRUE,FALSE
2002,3,Playoffs,220427019,2002-04-27,Orlando Magic,Charlotte Hornets,ORL,CHA,100,110,FALSE,,,Final/OT,FALSE,TRUE,Charlotte Hornets,Orlando Magic,10,FALSE,FALSE
2002,3,Playoffs,220427025,2002-04-27,Seattle SuperSonics,San Antonio Spurs,SEA,SA,75,102,FALSE,,,Final,FALSE,TRUE,San Antonio Spurs,Seattle SuperSonics,27,FALSE,FALSE
2002,3,Playoffs,220427026,2002-04-27,Utah Jazz,Sacramento Kings,UTAH,SAC,87,90,FALSE,,,Final,FALSE,TRUE,Sacramento Kings,Utah Jazz,3,TRUE,FALSE
2002,3,Playoffs,220427028,2002-04-27,Toronto Raptors,Detroit Pistons,TOR,DET,94,84,FALSE,,,Final,TRUE,FALSE,Toronto Raptors,Detroit Pistons,10,FALSE,FALSE
2002,3,Playoffs,220428016,2002-04-28,Minnesota Timberwolves,Dallas Mavericks,MIN,DAL,102,115,FALSE,,,Final,FALSE,TRUE,Dallas Mavericks,Minnesota Timberwolves,13,FALSE,FALSE
2002,3,Playoffs,220428020,2002-04-28,Philadelphia 76ers,Boston Celtics,PHI,BOS,108,103,FALSE,,,Final,TRUE,FALSE,Philadelphia 76ers,Boston Celtics,5,TRUE,FALSE
2002,3,Playoffs,220428022,2002-04-28,Portland Trail Blazers,Los Angeles Lakers,POR,LAL,91,92,FALSE,,,Final,FALSE,TRUE,Los Angeles Lakers,Portland Trail Blazers,1,TRUE,FALSE
2002,3,Playoffs,220429026,2002-04-29,Utah Jazz,Sacramento Kings,UTAH,SAC,86,91,FALSE,,,Final,FALSE,TRUE,Sacramento Kings,Utah Jazz,5,TRUE,FALSE
2002,3,Playoffs,220429028,2002-04-29,Toronto Raptors,Detroit Pistons,TOR,DET,89,83,FALSE,,,Final,TRUE,FALSE,Toronto Raptors,Detroit Pistons,6,FALSE,FALSE
2002,3,Playoffs,220430011,2002-04-30,Indiana Pacers,New Jersey Nets,IND,NJ,97,74,FALSE,,,Final,TRUE,FALSE,Indiana Pacers,New Jersey Nets,23,FALSE,FALSE
2002,3,Playoffs,220430019,2002-04-30,Orlando Magic,Charlotte Hornets,ORL,CHA,85,102,FALSE,,,Final,FALSE,TRUE,Charlotte Hornets,Orlando Magic,17,FALSE,FALSE
2002,3,Playoffs,220501020,2002-05-01,Philadelphia 76ers,Boston Celtics,PHI,BOS,83,81,FALSE,,,Final,TRUE,FALSE,Philadelphia 76ers,Boston Celtics,2,TRUE,FALSE
2002,3,Playoffs,220501025,2002-05-01,Seattle SuperSonics,San Antonio Spurs,SEA,SA,91,79,FALSE,,,Final,TRUE,FALSE,Seattle SuperSonics,San Antonio Spurs,12,FALSE,FALSE
2002,3,Playoffs,220502008,2002-05-02,Detroit Pistons,Toronto Raptors,DET,TOR,85,82,FALSE,,,Final,TRUE,FALSE,Detroit Pistons,Toronto Raptors,3,TRUE,FALSE
2002,3,Playoffs,220502017,2002-05-02,New Jersey Nets,Indiana Pacers,NJ,IND,120,109,FALSE,,,Final/2OT,TRUE,FALSE,New Jersey Nets,Indiana Pacers,11,FALSE,FALSE
2002,3,Playoffs,220503002,2002-05-03,Boston Celtics,Philadelphia 76ers,BOS,PHI,120,87,FALSE,,,Final,TRUE,FALSE,Boston Celtics,Philadelphia 76ers,33,FALSE,FALSE
2002,3,Playoffs,220503024,2002-05-03,San Antonio Spurs,Seattle SuperSonics,SA,SEA,101,78,FALSE,,,Final,TRUE,FALSE,San Antonio Spurs,Seattle SuperSonics,23,FALSE,FALSE
2002,3,Playoffs,220504023,2002-05-04,Sacramento Kings,Dallas Mavericks,SAC,DAL,108,91,FALSE,,,Final,TRUE,FALSE,Sacramento Kings,Dallas Mavericks,17,FALSE,FALSE
2002,3,Playoffs,220505008,2002-05-05,Detroit Pistons,Boston Celtics,DET,BOS,96,84,FALSE,,,Final,TRUE,FALSE,Detroit Pistons,Boston Celtics,12,FALSE,FALSE
2002,3,Playoffs,220505013,2002-05-05,Los Angeles Lakers,San Antonio Spurs,LAL,SA,86,80,FALSE,,,Final,TRUE,FALSE,Los Angeles Lakers,San Antonio Spurs,6,FALSE,FALSE
