season,game_id,team,team_abbr,three_pa
2002,220612017,Los Angeles Lakers,LAL,19
2002,220612017,New Jersey Nets,NJ,9
2002,220609017,Los Angeles Lakers,LAL,16
2002,220609017,New Jersey Nets,NJ,12
2002,220607013,New Jersey Nets,NJ,22
2002,220607013,Los Angeles Lakers,LAL,16
2002,220605013,New Jersey Nets,NJ,16
2002,220605013,Los Angeles Lakers,LAL,10
2002,220602023,Los Angeles Lakers,LAL,17
2002,220602023,Sacramento Kings,SAC,20
2002,220531002,New Jersey Nets,NJ,10
2002,220531002,Boston Celtics,BOS,30
2002,220531013,Sacramento Kings,SAC,19
2002,220531013,Los Angeles Lakers,LAL,15
2002,220529017,Boston Celtics,BOS,32
2002,220529017,New Jersey Nets,NJ,17
2002,220528023,Los Angeles Lakers,LAL,17
2002,220528023,Sacramento Kings,SAC,9
2002,220527002,New Jersey Nets,NJ,21
2002,220527002,Boston Celtics,BOS,20
2002,220526013,Sacramento Kings,SAC,19
2002,220526013,Los Angeles Lakers,LAL,26
2002,220525002,New Jersey Nets,NJ,20
2002,220525002,Boston Celtics,BOS,16
2002,220524013,Sacramento Kings,SAC,16
2002,220524013,Los Angeles Lakers,LAL,31
2002,220521017,Boston Celtics,BOS,23
2002,220521017,New Jersey Nets,NJ,23
2002,220520023,Los Angeles Lakers,LAL,19
2002,220520023,Sacramento Kings,SAC,12
2002,220519017,Boston Celtics,BOS,29
2002,220519017,New Jersey Nets,NJ,14
2002,220518023,Los Angeles Lakers,LAL,20
2002,220518023,Sacramento Kings,SAC,6
2002,220515017,Charlotte Hornets,CHA,15
2002,220515017,New Jersey Nets,NJ,15
2002,220514008,Boston Celtics,BOS,17
2002,220514008,Detroit Pistons,DET,27
2002,220514013,San Antonio Spurs,SA,13
2002,220514013,Los Angeles Lakers,LAL,14
2002,220513023,Dallas Mavericks,DAL,18
2002,220513023,Sacramento Kings,SAC,17
2002,220512024,Los Angeles Lakers,LAL,16
2002,220512024,San Antonio Spurs,SA,11
2002,220512002,Detroit Pistons,DET,31
2002,220512002,Boston Celtics,BOS,19
2002,220512003,New Jersey Nets,NJ,19
2002,220512003,Charlotte Hornets,CHA,21
2002,220511006,Sacramento Kings,SAC,15
2002,220511006,Dallas Mavericks,DAL,23
2002,220510024,Los Angeles Lakers,LAL,12
2002,220510024,San Antonio Spurs,SA,17
2002,220510002,Detroit Pistons,DET,20
2002,220510002,Boston Celtics,BOS,19
2002,220509006,Sacramento Kings,SAC,16
2002,220509006,Dallas Mavericks,DAL,25
2002,220509003,New Jersey Nets,NJ,16
2002,220509003,Charlotte Hornets,CHA,10
2002,220508008,Boston Celtics,BOS,18
2002,220508008,Detroit Pistons,DET,29
2002,220507017,Charlotte Hornets,CHA,13
2002,220507017,New Jersey Nets,NJ,11
2002,220507013,San Antonio Spurs,SA,14
2002,220507013,Los Angeles Lakers,LAL,14
2002,220506023,Dallas Mavericks,DAL,19
2002,220506023,Sacramento Kings,SAC,21
2002,220505008,Boston Celtics,BOS,19
2002,220505008,Detroit Pistons,DET,25
2002,220505013,San Antonio Spurs,SA,18
2002,220505013,Los Angeles Lakers,LAL,21
2002,220505017,Charlotte Hornets,CHA,12
2002,220505017,New Jersey Nets,NJ,6
2002,220504023,Dallas Mavericks,DAL,23
2002,220504023,Sacramento Kings,SAC,18
2002,220503024,Seattle SuperSonics,SEA,22
2002,220503024,San Antonio Spurs,SA,15
2002,220503002,Philadelphia 76ers,PHI,14
2002,220503002,Boston Celtics,BOS,29
2002,220502008,Toronto Raptors,TOR,12
2002,220502008,Detroit Pistons,DET,15
2002,220502017,Indiana Pacers,IND,19
2002,220502017,New Jersey Nets,NJ,15
2002,220501020,Boston Celtics,BOS,29
2002,220501020,Philadelphia 76ers,PHI,12
2002,220501025,San Antonio Spurs,SA,16
2002,220501025,Seattle SuperSonics,SEA,14
2002,220430011,New Jersey Nets,NJ,9
2002,220430011,Indiana Pacers,IND,9
2002,220430019,Charlotte Hornets,CHA,9
2002,220430019,Orlando Magic,ORL,21
2002,220429026,Sacramento Kings,SAC,15
2002,220429026,Utah Jazz,UTAH,12
2002,220429028,Detroit Pistons,DET,20
2002,220429028,Toronto Raptors,TOR,11
2002,220428022,Los Angeles Lakers,LAL,20
2002,220428022,Portland Trail Blazers,POR,17
2002,220428016,Dallas Mavericks,DAL,24
2002,220428016,Minnesota Timberwolves,MIN,17
2002,220428020,Boston Celtics,BOS,30
2002,220428020,Philadelphia 76ers,PHI,11
2002,220427028,Detroit Pistons,DET,19
2002,220427028,Toronto Raptors,TOR,8
2002,220427025,San Antonio Spurs,SA,11
2002,220427025,Seattle SuperSonics,SEA,10
2002,220427026,Sacramento Kings,SAC,16
2002,220427026,Utah Jazz,UTAH,19
2002,220427019,Charlotte Hornets,CHA,10
2002,220427019,Orlando Magic,ORL,23
2002,220426011,New Jersey Nets,NJ,13
2002,220426011,Indiana Pacers,IND,11
2002,220425002,Philadelphia 76ers,PHI,15
2002,220425002,Boston Celtics,BOS,19
2002,220425013,Portland Trail Blazers,POR,18
2002,220425013,Los Angeles Lakers,LAL,19
2002,220424006,Minnesota Timberwolves,MIN,8
2002,220424006,Dallas Mavericks,DAL,22
2002,220424008,Toronto Raptors,TOR,10
2002,220424008,Detroit Pistons,DET,21
2002,220423003,Orlando Magic,ORL,16
2002,220423003,Charlotte Hornets,CHA,10
2002,220423023,Utah Jazz,UTAH,6
2002,220423023,Sacramento Kings,SAC,22
2002,220422024,Seattle SuperSonics,SEA,7
2002,220422024,San Antonio Spurs,SA,17
2002,220422017,Indiana Pacers,IND,11
2002,220422017,New Jersey Nets,NJ,12
2002,220421008,Toronto Raptors,TOR,12
2002,220421008,Detroit Pistons,DET,19
2002,220421013,Portland Trail Blazers,POR,19
2002,220421013,Los Angeles Lakers,LAL,20
2002,220421006,Minnesota Timberwolves,MIN,13
2002,220421006,Dallas Mavericks,DAL,23
2002,220421002,Philadelphia 76ers,PHI,13
2002,220421002,Boston Celtics,BOS,18
2002,220420003,Orlando Magic,ORL,6
2002,220420003,Charlotte Hornets,CHA,10
2002,220420024,Seattle SuperSonics,SEA,8
2002,220420024,San Antonio Spurs,SA,15
2002,220420017,Indiana Pacers,IND,9
2002,220420017,New Jersey Nets,NJ,11
2002,220420023,Utah Jazz,UTAH,9
2002,220420023,Sacramento Kings,SAC,18
2003,230615024,New Jersey Nets,NJ,21
2003,230615024,San Antonio Spurs,SA,15
2003,230613017,San Antonio Spurs,SA,9
2003,230613017,New Jersey Nets,NJ,16
2003,230611017,San Antonio Spurs,SA,18
2003,230611017,New Jersey Nets,NJ,9
2003,230608017,San Antonio Spurs,SA,10
2003,230608017,New Jersey Nets,NJ,13
2003,230606024,New Jersey Nets,NJ,11
2003,230606024,San Antonio Spurs,SA,13
2003,230604024,New Jersey Nets,NJ,13
2003,230604024,San Antonio Spurs,SA,10
2003,230529006,San Antonio Spurs,SA,19
2003,230529006,Dallas Mavericks,DAL,18
2003,230527024,Dallas Mavericks,DAL,22
2003,230527024,San Antonio Spurs,SA,22
